ID;Phase/Priorität;Task;Akzeptanzkriterium;Abhängigkeit;Owner
EYT-INT-001;Phase A – P0: Entscheidung und integrierter Clickdummy;Kanonisches Repository und Produktnamen klären;ADR benennt genau ein Repo, Default Branch, Produktname und Archivstatus der Prototypen;–;Product/Architecture
EYT-INT-002;Phase A – P0: Entscheidung und integrierter Clickdummy;Integrations-ADR „ein Monorepo, zwei Rollen-Shells“;"ADR akzeptiert; verworfene Optionen und Rückbaupfad dokumentiert";INT-001;Architecture
EYT-INT-003;Phase A – P0: Entscheidung und integrierter Clickdummy;Gemeinsames Domain-/Contract-Paket anlegen;"`packages/domain` und `packages/contracts` bauen; keine UI importiert Mock-Typen direkt";INT-002;Fullstack
EYT-INT-004;Phase A – P0: Entscheidung und integrierter Clickdummy;Prototype-Gateway definieren;"Mock- und HTTP-Gateway erfüllen dieselben Interfaces; UI kennt kein Supabase-SDK";INT-003;Frontend/API
EYT-FIX-001;Phase A – P0: Entscheidung und integrierter Clickdummy;Wochenstunden-Scoping korrigieren;"Tests zeigen getrennte Summen für zwei Kalenderwochen; keine „Ganze Woche“-Drift";–;Frontend/Domain
EYT-FIX-002;Phase A – P0: Entscheidung und integrierter Clickdummy;Zeitintervall validieren;`start == end`, ungültige Werte und unerlaubte Nachtintervalle werden explizit behandelt;–;Domain
EYT-FIX-003;Phase A – P0: Entscheidung und integrierter Clickdummy;Ressourcen-Doppelbelegung korrigieren;zwei nicht überlappende Reservierungen am selben Tag bleiben zulässig;FIX-002;Domain
EYT-FIX-004;Phase A – P0: Entscheidung und integrierter Clickdummy;Koordinatenmodell und Kartenadapter;"Worksite speichert Koordinaten; Clickdummy verwendet Adapter statt direkter Nominatim-Aufrufe";INT-003;Frontend/API
EYT-FIX-005;Phase A – P0: Entscheidung und integrierter Clickdummy;Falsche Offline-/Sync-Claims entfernen;"keine UI behauptet Offline-Sync ohne Service Worker/Queue; Demo-Modus ist eindeutig beschriftet";–;Product/Frontend
EYT-FIX-006;Phase A – P0: Entscheidung und integrierter Clickdummy;Timer-Clickdummy auf Instant-Modell umstellen;"Reload berechnet Dauer aus gespeichertem ISO-Start; kein `localStorage.clear()`";INT-003;Frontend/Domain
EYT-CD-001;Phase A – P0: Entscheidung und integrierter Clickdummy;Gemeinsame Design-Tokens/Primitives konsolidieren;"Planer- und Mobile-Shell nutzen `packages/ui`; Fokus-/Statusregeln erhalten";INT-003;Design/Frontend
EYT-CD-002;Phase A – P0: Entscheidung und integrierter Clickdummy;Planer-Screens in Master migrieren;Woche, Monat, 4-Wochen, Konflikte, Publish-Demo unter `/planung` navigierbar;CD-001, INT-004;Frontend
EYT-CD-003;Phase A – P0: Entscheidung und integrierter Clickdummy;Mitarbeiter-Screens in Master migrieren;Heute, Woche, Baustelle, Wetter, Bestätigung/Ablehnung, Abwesenheit, Timer unter `/einsatz`;CD-001, INT-004;Frontend
EYT-CD-004;Phase A – P0: Entscheidung und integrierter Clickdummy;Login/Passwort-Reset-Clickdummy;Login, Fehler, Reset und Rückkehrfluss sind klickbar und rollenbasiert weiterleitbar;CD-002, CD-003;Frontend/Product
EYT-CD-005;Phase A – P0: Entscheidung und integrierter Clickdummy;Rollen-/Berechtigungseditor-Clickdummy;"Admin kann atomare Rechte ansehen/ändern; GF- und Mitarbeitergrenzen sichtbar";CD-004;Frontend/Product
EYT-CD-006;Phase A – P0: Entscheidung und integrierter Clickdummy;Arbeitszeitfreigabe/Korrektur-Clickdummy;Admin sieht Original, Korrektur, Pflichtgrund und Auditvorschau;CD-003;Frontend/Product
EYT-CD-007;Phase A – P0: Entscheidung und integrierter Clickdummy;End-to-End-Prototyp-Szenario;definierter 8-Schritt-Ablauf funktioniert mit identischen IDs/Planversionen;CD-002..006;QA/Product
EYT-CD-008;Phase A – P0: Entscheidung und integrierter Clickdummy;Nutzer- und Stakeholdertest;"Test mit GF/Admin/Mitarbeiter; Findings priorisiert; PRD-Änderungen beschlossen";CD-007;Product/UX
EYT-DATA-001;Phase B – P1: Fachliches MVP;Fachliches PostgreSQL-Schema;"Migrationen für Workforce, Worksite, Skills, Ressourcen, Planung, Abwesenheit, Zeit, Audit; RLS-Tests grün";INT-003;Backend/DB
EYT-AUTH-001;Phase B – P1: Fachliches MVP;Supabase Auth, Einladung, Reset;"Login/Reset/Invite gegen reale Testgrenze; Session-Fehlerfälle getestet";DATA-001;Backend/Frontend
